Year,Month,Day,Failures,Downtime (min),Operating (min),MTBF (min),MTTR (min),Availability (%)
2010,January,1,1,27.9,402.6,402.6,27.9,93.07
2010,January,2,0,0.0,402.6,,,100.0
2010,January,3,0,2.0,402.6,,,99.5
2010,January,4,4,104.7,402.6,100.7,26.2,73.99
2010,January,5,0,2.1,402.6,,,99.48
2010,January,6,0,0.1,402.6,,,99.98
2010,January,7,2,52.8,402.6,201.3,26.4,86.89
2010,January,8,2,52.7,402.6,201.3,26.4,86.91
2010,January,9,1,26.1,402.6,402.6,26.1,93.52
2010,January,10,1,28.7,402.6,402.6,28.7,92.87
2010,January,11,0,0.0,402.6,,,100.0
2010,January,12,0,4.1,402.6,,,98.98
2010,January,13,2,54.2,402.6,201.3,27.1,86.54
2010,January,14,1,27.7,402.6,402.6,27.7,93.12
2010,January,15,2,52.0,402.6,201.3,26.0,87.08
2010,January,16,2,54.8,402.6,201.3,27.4,86.39
2010,January,17,0,0.0,402.6,,,100.0
2010,January,18,1,27.6,402.6,402.6,27.6,93.14
2010,January,19,0,2.2,402.6,,,99.45
2010,January,20,1,26.2,402.6,402.6,26.2,93.49
2010,January,21,2,52.6,402.6,201.3,26.3,86.93
2010,January,22,1,27.2,402.6,402.6,27.2,93.24
2010,January,23,1,29.0,402.6,402.6,29.0,92.8
2010,January,24,1,24.5,402.6,402.6,24.5,93.91
2010,January,25,1,25.1,402.6,402.6,25.1,93.77
2010,January,26,2,51.4,402.6,201.3,25.7,87.23
2010,January,27,1,25.2,402.6,402.6,25.2,93.74
2010,January,28,2,54.8,402.6,201.3,27.4,86.39
2010,January,29,2,50.6,402.6,201.3,25.3,87.43
2010,January,30,0,0.0,402.6,,,100.0
2010,January,31,1,26.0,402.6,402.6,26.0,93.54
2010,February,1,0,1.0,411.4,,,99.76
2010,February,2,0,0.0,411.4,,,100.0
2010,February,3,0,0.2,411.4,,,99.95
2010,February,4,3,106.0,411.4,137.1,35.3,74.23
2010,February,5,2,69.3,411.4,205.7,34.6,83.16
2010,February,6,1,35.0,411.4,411.4,35.0,91.49
2010,February,7,0,2.5,411.4,,,99.39
2010,February,8,1,36.9,411.4,411.4,36.9,91.03
2010,February,9,1,36.0,411.4,411.4,36.0,91.25
2010,February,10,1,34.2,411.4,411.4,34.2,91.69
2010,February,11,1,34.3,411.4,411.4,34.3,91.66
2010,February,12,0,0.3,411.4,,,99.93
2010,February,13,1,34.9,411.4,411.4,34.9,91.52
2010,February,14,1,33.8,411.4,411.4,33.8,91.78
2010,February,15,1,35.1,411.4,411.4,35.1,91.47
2010,February,16,0,0.0,411.4,,,100.0
2010,February,17,3,104.5,411.4,137.1,34.8,74.6
2010,February,18,1,32.3,411.4,411.4,32.3,92.15
2010,February,19,0,1.7,411.4,,,99.59
